obsid next_obsid time timestop date datestop gui_ms manvr_angle one_shot roll_err point_err
18165 18751 569527771.964 569537942.0150521 2016:018:18:08:23.780 2016:018:20:57:53.831 ENAB 41.61267276050171 14.083028793334961 1.4800556450722113 0.4796865066070963
18751 51328 569539239.6650001 569584249.4676832 2016:018:21:19:31.481 2016:019:09:49:41.284 ENAB 0.0 3.9915897846221924 0.7106855562284737 0.4949191627902077
51327 51326 569586266.668 569591911.3431185 2016:019:10:23:18.484 2016:019:11:57:23.159 ENAB 32.85525483415263 10.536504745483398 1.6876986819000874 0.5300588496009543
51326 51325 569593080.868 569599958.6185758 2016:019:12:16:52.684 2016:019:14:11:30.435 ENAB 58.73546620109768 17.846797943115234 1.9562542103587077 0.4870274422029444
51325 51324 569601498.169 569604612.1188402 2016:019:14:37:09.985 2016:019:15:29:03.935 ENAB 150.70512268510794 28.357192993164062 3.3311922310819813 0.5583136241237431
51324 51323 569607406.269 569617550.6945754 2016:019:16:15:38.085 2016:019:19:04:42.511 ENAB 78.20932268466733 10.014044761657715 2.8325089123327167 0.7085198197715096
51323 51322 569619337.27 569625658.445036 2016:019:19:34:29.086 2016:019:21:19:50.261 ENAB 87.87014583718516 13.3034086227417 1.4972613322353912 0.539055046982666
51322 18750 569627578.27 569636888.3456534 2016:019:21:51:50.086 2016:020:00:27:00.162 ENAB 68.68091843790272 16.89766502380371 1.3480857860886963 0.5464429239748934
18750 51321 569638558.071 569688441.7485805 2016:020:00:54:49.887 2016:020:14:46:13.565 ENAB 66.16294251731833 23.06612205505371 2.24627154221857 0.5894314045469413
18191 18112 569692489.474 569717644.0002385 2016:020:15:53:41.290 2016:020:22:52:55.816 ENAB 33.52078038700971 18.224824905395508 5.722019051656908 1.0320857305232967
18112 18261 569718844.275 569722376.4255073 2016:020:23:12:56.091 2016:021:00:11:48.242 ENAB 169.0900454829841 17.56780242919922 3.395035291582087 0.7746513556531834
18261 17731 569725387.876 569735562.026256 2016:021:01:01:59.692 2016:021:03:51:33.842 ENAB 64.21255969080978 17.57497787475586 3.4613924936893525 0.6953089495564106
17731 18260 569737183.576 569784417.6290299 2016:021:04:18:35.392 2016:021:17:25:49.445 ENAB 66.97068406602082 22.73465919494629 1.1814566680633323 0.6401184312374854
18260 18670 569786084.2789999 569796345.5547072 2016:021:17:53:36.095 2016:021:20:44:37.371 ENAB 73.27321937738999 14.639687538146973 1.73948502694349 0.4386437396456006
18670 51320 569798072.6800001 569813061.2556562 2016:021:21:13:24.496 2016:022:01:23:13.072 ENAB 0.0 5.061922550201416 2.640063485801391 0.5841632061959833
51319 51318 569815739.5810001 569821191.5561179 2016:022:02:07:51.397 2016:022:03:38:43.372 ENAB 59.883745441436 18.276897430419922 2.0304919391552634 0.5907791033396976
51318 51317 569822746.481 569828079.556509 2016:022:04:04:38.297 2016:022:05:33:31.373 ENAB 63.64898627319342 9.94003677368164 2.9328087182594023 0.5746152985018964
51317 51316 569829675.482 569832798.6567769 2016:022:06:00:07.298 2016:022:06:52:10.473 ENAB 146.84857736504665 17.40065574645996 1.8582984970905954 0.6162132721101673
51316 51315 569835509.782 569845687.0075088 2016:022:07:37:21.598 2016:022:10:26:58.824 ENAB 75.03531289253975 31.456357955932617 3.589376143132601 0.5008280786068098
51315 51314 569847473.583 569854294.9579974 2016:022:10:56:45.399 2016:022:12:50:26.774 ENAB 91.67266678502455 17.075870513916016 1.295555935100253 0.5553821791775658
51314 18749 569856272.183 569865739.0836473 2016:022:13:23:23.999 2016:022:16:01:10.900 ENAB 56.41343210509693 26.3372859954834 1.2967748149577885 0.49374834052970606
18749 51313 569867272.484 569890628.1350604 2016:022:16:26:44.300 2016:022:22:55:59.951 ENAB 64.75479324786504 21.546613693237305 2.6967033901995587 0.5309548435629695
18752 17183 569893561.6850001 569950107.8634377 2016:022:23:44:53.501 2016:023:15:27:19.679 ENAB 131.01555060528622 0.9911318421363831 1.3093757673414033 0.5418099483808176
17183 51312 569952597.589 569956784.7138168 2016:023:16:08:49.405 2016:023:17:18:36.530 ENAB 18.695707673146956 6.424674987792969 2.2366504403701333 0.6772225350546031
18745 51311 569960875.4890001 570043187.0937227 2016:023:18:26:47.305 2016:024:17:18:38.910 ENAB 0.0 4.375298500061035 1.6349328717214502 0.6351485642436423
51311 51310 570043695.4940001 570045073.0938298 2016:024:17:27:07.310 2016:024:17:50:04.910 ENAB 87.17141465786702 12.488271713256836 3.037668933605929 0.5444216665607189
51310 51309 570046975.494 570048365.3940167 2016:024:18:21:47.310 2016:024:18:44:57.210 ENAB 62.33133490552072 25.329418182373047 2.2357821563238316 1.035840111753776
51309 51308 570049972.594 570059126.8696277 2016:024:19:11:44.410 2016:024:21:44:18.686 ENAB 171.5717755631635 13.83581829071045 1.615892713474587 0.5987388310312146
51308 51307 570062153.695 570072345.2703782 2016:024:22:34:45.511 2016:025:01:24:37.086 ENAB 72.85656323492027 16.83401107788086 2.7747765307661134 0.6925384720002358
51307 51306 570074076.495 570084772.3710839 2016:025:01:53:28.311 2016:025:04:51:44.187 ENAB 110.77354118136886 12.67245864868164 1.79635862811506 0.7528600216795921
51306 51305 570086991.496 570093178.3965611 2016:025:05:28:43.312 2016:025:07:11:50.213 ENAB 83.4725267383932 20.959745407104492 1.8506056346845843 0.569023333019691
18747 18231 570098131.197 570153817.4000043 2016:025:08:34:23.013 2016:026:00:02:29.216 ENAB 47.61714067601179 11.064650535583496 2.05742610104182 0.607202601639314
18231 17158 570155195.0 570203382.3028185 2016:026:00:25:26.816 2016:026:13:48:34.119 ENAB 43.83411864877856 28.459054946899414 6.9564710901639835 0.9291459318347869
