obsid next_obsid time timestop date datestop gui_ms manvr_angle one_shot roll_err point_err
16185 17736 575199111.573 575248445.8507309 2016:084:09:30:43.389 2016:084:23:12:57.667 DISA 117.8186037407035 25.361236572265625 3.5124754484764042 0.4522307300855244
17728 18014 575421003.586 575430134.2861112 2016:086:23:08:55.402 2016:087:01:41:06.102 DISA 77.16591792944122 8.340561866760254 5.012168878756997 0.586770362491955
17621 18103 575445029.587 575509185.3656282 2016:087:05:49:21.403 2016:087:23:38:37.182 DISA 58.84869778512731 26.80327606201172 2.8846344172895657 0.5568575638211832
17047 17787 575674527.0999999 575710460.5270897 2016:089:21:34:18.916 2016:090:07:33:12.343 DISA 91.28947757105541 8.306594848632812 4.779640232783636 0.5325878723201914
18805 18626 575852832.01 575858967.6605656 2016:091:23:06:03.826 2016:092:00:48:19.477 DISA 58.239643080447195 18.89994239807129 5.727638939977134 0.7021013166164268
18621 51137 575946398.116 575978890.6174098 2016:093:01:05:29.932 2016:093:10:07:02.433 DISA 0.0 6.410495758056641 0.7237393071318727 0.41427224923805733
51136 51135 575981436.7179999 575984981.1677575 2016:093:10:49:28.534 2016:093:11:48:32.984 DISA 173.40310005013757 25.44603729248047 1.348811616668102 0.4227159741956009
51135 51134 575988074.618 575994537.2433028 2016:093:12:40:06.434 2016:093:14:27:49.059 DISA 22.976788668217 6.756707191467285 2.954587481374881 0.39355577616023674
51134 51133 575995532.518 576009727.7441698 2016:093:14:44:24.334 2016:093:18:40:59.560 DISA 38.21696743997014 10.067546844482422 1.2800488914710144 0.407734948097063
51133 51132 576010981.319 576027167.0951651 2016:093:19:01:53.135 2016:093:23:31:38.911 DISA 10.950053092214002 3.0490198135375977 0.7100046175509721 0.4560335788119311
51132 17604 576027893.82 576031989.7204403 2016:093:23:43:45.636 2016:094:00:52:01.536 DISA 68.2795781880853 17.632545471191406 2.5962291793277807 0.45269000913498364
17604 17222 576033724.0209999 576059724.1720232 2016:094:01:20:55.837 2016:094:08:34:15.988 DISA 44.31591302514216 8.111930847167969 0.7270499582693871 0.45480878309093414
17222 18802 576061062.822 576121246.7255342 2016:094:08:56:34.638 2016:095:01:39:38.542 DISA 98.27057350581907 59.90153884887695 2.405032749435985 0.4877083283533569
18802 18080 576123370.526 576159487.4277166 2016:095:02:15:02.342 2016:095:12:16:59.244 DISA 134.613584556204 7.635064601898193 1.7304256497908534 0.3630145471418524
18080 18117 576162021.2279999 576172211.7784429 2016:095:12:59:13.044 2016:095:15:49:03.594 DISA 29.54107931808683 5.031179428100586 1.678633489248251 0.4186357073975957
18117 17118 576173333.129 576178644.6788099 2016:095:16:07:44.945 2016:095:17:36:16.495 DISA 52.58283976948265 7.286986827850342 2.076657435383088 0.35404519485484365
17118 51130 576180089.929 576209223.505555 2016:095:18:00:21.745 2016:096:02:05:55.322 DISA 0.0 5.391357421875 3.8538634109851153 0.4661451139018408
51129 51128 576211651.731 576212190.8807244 2016:096:02:46:23.547 2016:096:02:55:22.697 DISA 105.21283789612283 13.708247184753418 1.443309689242425 0.38646019647571056
51128 51127 576214341.331 576220490.3062208 2016:096:03:31:13.147 2016:096:05:13:42.122 DISA 107.6746663687228 29.10835838317871 2.12846295281418 0.38183193612590655
51127 51126 576222709.431 576225839.7815263 2016:096:05:50:41.247 2016:096:06:42:51.598 DISA 134.64604201491272 21.443017959594727 5.424848633267269 0.49349767187846766
51126 51125 576228412.532 576236571.5321394 2016:096:07:25:44.348 2016:096:09:41:43.348 DISA 108.30356285635092 49.52505874633789 2.1625794100442475 0.3640691222632301
51125 51124 576238818.332 576247945.9577892 2016:096:10:19:10.148 2016:096:12:51:17.774 DISA 158.08255297117597 28.271270751953125 1.5033508540076057 0.42366277498499755
51124 51123 576250839.533 576251983.4330199 2016:096:13:39:31.349 2016:096:13:58:35.249 DISA 108.43369004603476 17.32353973388672 1.315535424033991 0.4258332787443316
51123 18064 576254189.233 576258866.3084131 2016:096:14:35:21.049 2016:096:15:53:18.124 DISA 50.58977165304309 5.852088451385498 0.8230061078113159 0.20132240055149825
18064 17233 576260290.033 576285556.2849379 2016:096:16:17:01.849 2016:096:23:18:08.101 DISA 85.70890955945295 15.981855392456055 3.4731043688030723 0.37378958848141486
17233 17034 576287456.635 576330629.6375129 2016:096:23:49:48.451 2016:097:11:49:21.454 DISA 100.09670614501024 23.97777557373047 2.5180959215072174 0.4078186819057312
17034 18825 576332741.138 576340893.9880995 2016:097:12:24:32.954 2016:097:14:40:25.804 DISA 100.09670614501024 8.169729232788086 1.6210617730408867 0.5040038026589732
18825 17079 576342970.638 576368158.9896572 2016:097:15:15:02.454 2016:097:22:14:50.806 DISA 11.942369759988267 8.848750114440918 2.632952781129022 0.4898691849499021
17079 18089 576368927.74 576399288.2414358 2016:097:22:27:39.556 2016:098:06:53:40.057 DISA 86.31591221918399 16.4633846282959 1.5881519005774627 0.39864620454942595
18089 18428 576401190.642 576421369.8176974 2016:098:07:25:22.458 2016:098:13:01:41.634 DISA 92.82571250973976 7.6201171875 3.5256856363083298 0.44169755723373066
18428 51122 576423355.2429999 576438366.3686686 2016:098:13:34:47.059 2016:098:17:44:58.185 DISA 0.0 5.3964385986328125 1.0799819305693708 0.38815707941416683
17770 18169 576572045.851 576586687.977144 2016:100:06:52:57.667 2016:100:10:56:59.793 DISA 148.52209816176642 26.22835350036621 1.2585941266997729 0.4370184440953422
18627 51115 576654070.4560001 576664144.1565706 2016:101:05:40:02.272 2016:101:08:27:55.973 DISA 0.0 5.3181586265563965 2.242320672153772 0.3917176516298769
51113 51112 576669605.357 576682719.2076322 2016:101:09:58:57.173 2016:101:13:37:31.024 DISA 162.1181223265378 57.17194747924805 1.4277435488854904 0.39171289136238513
51112 51111 576685685.558 576687811.4079232 2016:101:14:26:57.374 2016:101:15:02:23.224 DISA 106.19812080115304 53.70664596557617 1.9297873407167214 0.38621089915670337
51111 51110 576690035.658 576708656.8341146 2016:101:15:39:27.474 2016:101:20:49:48.650 DISA 106.18134438537152 49.154747009277344 1.4142289665695396 0.3404684476663766
51110 51108 576710875.959 576713964.284418 2016:101:21:26:47.775 2016:101:22:18:16.100 DISA 164.01508238276958 13.594901084899902 2.9313359149470433 0.49739898075829514
